,badge,work_date,cost_center,num_hours,category,description,ws_rule,ws_rule_text,status,race,,,
104,2084,10/6/19,1830,7.71,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
105,2112,10/6/19,2838,8,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
106,2127,10/6/19,1811,7.5,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
108,2182,10/6/19,2752,12.58,4006,Double Time,A11&8B01,Body A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
109,2212,10/6/19,2699,11.9,4006,Double Time,A11&8P12,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
110,2214,10/6/19,2630,5.06,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
111,2219,10/6/19,2837,7.38,4006,Double Time,APUB,A-Shift UBS,Active,Non-Hispanic/Latino,,,
112,2238,10/6/19,2651,7.33,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
113,2271,10/6/19,1814,8.28,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
114,2286,10/6/19,2941,6.11,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
115,2302,10/6/19,2736,7.36,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
116,2374,10/6/19,2803,5.02,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
117,2386,10/6/19,2777,11.03,4006,Double Time,A11&8B01,Body A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
119,2432,10/6/19,2944,7.51,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
120,2469,10/6/19,1831,7.68,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
121,2489,10/6/19,2835,7.5,4006,Double Time,AICP,A-Shift ICP,Active,Non-Hispanic/Latino,,,
122,2517,10/6/19,1811,5.06,4007,DTime: Premium,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
123,2534,10/6/19,1642,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
125,2559,10/6/19,2731,11.03,4006,Double Time,A11&8B01,Body A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
126,2605,10/6/19,2809,7.55,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
127,2613,10/6/19,2907,3.95,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
129,2631,10/6/19,2942,7.51,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
130,2635,10/6/19,2942,7.5,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
131,2642,10/6/19,2942,7.4,4006,Double Time,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
132,2646,10/6/19,2736,7.48,4006,Double Time,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
134,2691,10/6/19,2944,7.53,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
135,2701,10/6/19,2838,8,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
136,2721,10/6/19,2942,7.51,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
137,2728,10/6/19,1830,7.5,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
138,2734,10/6/19,1639,11.48,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
139,2736,10/6/19,1835,7.58,4006,Double Time,A0630AD1,A-Shift 06:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
140,2737,10/6/19,1745,11.47,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
